TN	T-P	DIN	NH4	NO3	DIP	PO4
5.755	0.151	5.099	1.441873781	2.784	0.029	0.158113883
4.852	0.178	4.689	1.050714043	2.903	0.095	0.277488739
6.15	0.109	5.989	1.31605471	3.572	0.033	0.144913767
5.747	0.102	5.697	1.066770828	3.898	0.041	0.194935887
7.262	0.103	7.244	1.498666074	4.35	0.043	0.130384048
7.872	0.133	7.306	1.497330959	4.147	0.057	0.137840488
7.26	0.128	7.118	1.482565344	3.995	0.042	0.178885438
7.48	0.138	7.466	1.641036258	3.879	0.045	0.118321596
6.456	0.228	5.886	1.680178562	2.385	0.105	0.306594194
6.823	0.18	6.182	1.636765102	3.087	0.04	0.114017543
7.568	0.123	7.522	1.852025918	3.455	0.037	0.122474487
4.873	0.166	4.439	1.15931014	2.746	0.036	0.104880885
5.956	0.131	5.766	1.636154027	2.576	0.043	0.083666003
6.845	0.15	6.83	1.823184028	2.596	0.058	0.104880885
5.941	0.256	5.508	1.637070554	2.635	0.073	0.130384048
4.514	0.195	4.504	1.506983742	2.126	0.1	0.281069386
6.263	0.116	6.247	2.003247364	1.936	0.067	0.134164079
7.334	0.156	6.707	1.940618458	1.958	0.072	0.178885438
3.695	0.201	3.517	1.174734012	1.809	0.058	0.122474487
4.723	0.174	4.505	1.55627761	1.921	0.066	0.109544512
4.473	0.321	4.414	1.702351315	1.28	0.103	0.273861279
4.891	0.184	4.545	1.480202689	1.522	0.077	0.134164079
4.973	0.175	4.815	1.590911688	1.774	0.073	0.14832397
3.197	0.181	3.169	1.231259518	1.642	0.092	0.242899156
2.786	0.195	2.681	1.230853363	1.081	0.069	0.256904652
3.709	0.163	3.476	1.418449858	1.426	0.041	0.104880885
2.439	0.179	2.422	1.020294075	1.37	0.074	0.262678511
3.183	0.169	3.059	1.173030264	1.597	0.046	0.054772256
3.936	0.088	3.815	1.277888884	2.04	0.044	0.134164079
2.887286	0.127286	2.781429	0.828164839	1.878	0.093857	0.304254827
4.041	0.105	3.768	1.239758041	1.482	0.057	0.232379001
2.546	0.133	2.358	0.759605161	1.245	0.048	0.212132034
2.381	0.107	2.258	0.664830806	1.533	0.07	0.248997992
2.236	0.142	2.137	0.809938269	1.444	0.08	0.275680975
2.642	0.111	2.444	0.910494371	1.521	0.041	0.126491106
3.892	0.239	3.853	1.413859965	1.58	0.128	0.342052628
3.526	0.171	3.093	0.859069264	1.988	0.066	0.2
2.798	0.118	2.754	0.85498538	1.659	0.066	0.225831796
3.798	0.097	3.663	1.109954954	1.835	0.039	0.158113883
3.156	0.175	3.105	1.135341358	1.303	0.152	0.386005181
3.279	0.125	2.773	1.0009995	1.453	0.013	0.077459667
2.903	0.147	2.822	0.572712843	1.984	0.101	0.256904652
2.972	0.094	2.908	0.452769257	2.125	0.026	0.134164079
2.919	0.102	2.878	0.736885337	2.046	0.062	0.234520788
3.428	0.061	3.316	0.681909085	2.201	0.018	0.077459667
4.012	0.057	3.859	0.769415362	2.507	0.021	0.054772256
3.404	0.079	3.349	0.77588659	2.442	0.068	0.236643191
4.554	0.055	4.426	0.966436754	3.003	0.038	0.130384048
4.947	0.063	4.919	1.141928194	3.054	0.02	0
6.316	0.099	6.138	1.418449858	2.937	0.064	0.212132034
5.596	0.103	5.311	1.44222051	2.704	0.069	0.234520788
6.117	0.091	5.937	1.556920036	3.004	0.045	0.154919334
5.742	0.101	5.668	1.319090596	3.521	0.037	0.134164079
6.614	0.076	6.332	1.25499004	3.842	0.019	0
6.869	0.112	6.636	1.563009917	3.505	0.028	0.083666003
6.258	0.095	5.814	1.437706507	3.421	0.013	0.054772256
5.201	0.145	5.115	1.084435337	3.113	0.092	0.268328157
5.518	0.082	5.497	1.293831519	3.458	0.038	0.158113883
6.049	0.137	5.832	1.558524944	3.102	0.083	0.260768096
5.668	0.116	5.587	1.512283042	2.915	0.033	0.161245155
6.064	0.103	5.797	1.34944433	3.763	0.04	0.14832397
6.288	0.156	6.27	1.704699387	2.875	0.072	0.212132034
4.692	0.126	4.335	1.128273017	2.623	0.029	0.14832397
4.968	0.133	4.65	1.446374779	2.282	0.048	0.176068169
5.718	0.103	5.415	1.404991103	3.029	0.027	0.070710678
4.993	0.155	4.467	1.336787193	2.321	0.028	0.077459667
5.56	0.096	5.525	1.503662196	2.778	0.027	0.063245553
4.276	0.154	4.14	1.384196518	1.731	0.062	0.184390889
5.664	0.087	5.405	1.549193338	2.197	0.039	0.089442719
6.585	0.101	6.556	1.721046193	2.853	0.055	0.122474487
