WT	DO	BOD	COD	TOC	pH	Cond	SS
21.9	7.4	6	12.4	8.9	7.5	323	15.9
23.9	6.9	5.5	11.4	7.2	7.4	240	13.1
23	9.9	6.1	12.9	7.8	7.7	319	13.7
24.5	8.1	5.9	13.4	8.3	7.2	346	15.5
23.985714	9.8	4.414286	9.271428	6.285714	7.085714	179.571426	12.657143
28.1	8	3.9	8.5	7.4	7.6	291	8.2
25.6	6.7	4.6	9.6	7.5	8	231	11.7
24	8.6	2.3	6.7	5.6	7.3	167	10.8
26.299999	7.4	2.3	7.2	5.6	7.3	158	19.799999
28.6	8.1	3.5	8.9	6.9	7.7	291	7.1
25.200001	9.5	3.3	13.6	9.2	7.6	291	86.599998
28.9	7.4	5.3	10.7	9.9	7.7	276	18.299999
23.5	8.5	3.2	19.1	12	7.4	278	12.1
24.799999	8.4	5.4	7.5	7.1	7.3	298	10.6
25.6	7	4.4	6.9	4.6	7.3	212	7.8
26.700001	9.1	5.5	8.2	6.1	8.1	270	15.5
17.1	10.9	2.2	6	3.9	7	158	7
21.5	11.5	3.5	6.1	4.7	7.1	252	5.3
17.9	7.2	1.7	4.5	2.8	7.1	213	6.6
20.6	11.2	4	6.7	4.8	8.1	245	11
19.6	13.5	5.5	9.1	6	9	307	14.7
14.1	12.7	4.6	7.2	6	7.1	352	9.9
13.7	12.5	5.8	7.7	6.7	7.6	390	11.9
10.9	12.4	4.9	7.6	6.4	7.4	431	9.3
14.1	9.5	4.1	7.9	6.8	7.6	398	3.3
12.6	10.4	4.5	7.2	6	7.8	378	6.8
10.4	10.1	5.6	7.9	6.5	7.7	425	10.2
7.2	14.5	6.8	12.2	8.5	8.5	404	21.6
8.2	14.2	6.4	9.7	7.5	8.3	448	15.8
7.3	12.8	6.1	10.9	8.1	7.7	452	16.5
5.8	14.1	6.2	9.4	7.8	8	388	15.1
6.5	11.5	5.3	7.3	5.5	7.4	272	9.1
5.7	12.6	3.5	7.6	5.4	7.4	313	7.7
9.1	11	5.4	8.9	6.6	6.9	353	10.9
9.6	8.9	5.9	9.3	6.6	7.2	335	12
6.4	13.2	6	8.8	6.5	8	347	12.6
7.4	12.6	6.2	11.3	6.5	7.7	364	16.700001
10.6	12.7	5.7	12	6.7	7.9	390	18.4
11.1	12	4.7	8.2	6.2	7.8	352	15.4
10.9	11.7	5.9	8.5	6.5	7.4	327	16.799999
12.3	13.7	6.8	13.2	7.6	7	312	21
13.7	10.9	6.7	11.6	7.4	7.8	358	15.9
13.3	10.6	6.1	9.1	6.4	7	297	10.8
14.2	9.4	5.7	11.7	6.8	7.9	374	13.2
14.1	9.6	6.9	13.3	8.1	7.6	414	12.5
15.2	8.1	6.4	11.8	7	7.2	304	14.1
16.200001	11.6	5.8	11.2	6.1	8.1	236	13.6
20.9	6.4	6.4	11.8	7.5	7.1	380	13.8
18.9	6.7	4.8	9.1	5.4	7	256	12.3
21.6	8.7	5.5	9.5	6.7	6.8	255	8.9
21.299999	7.1	5.6	10.2	6.2	6.9	305	13.9
23.1	7	5.8	10	7.3	7	325	15.7
27.1	6.8	6	11.7	6.9	7.3	321	12.2
23.799999	6.7	6.6	9.8	6.9	6.8	172	14.8
25.4	7.8	5.7	9.4	7	7.1	209	14.3
22.799999	7.8	5.5	9	6.3	7	177	13.9
23.700001	8	5.3	8.4	5.6	7.1	232	12.1
20.6	8.5	3	6.7	4.7	6.8	137	24.5
25.299999	8.6	3.9	6.6	4.7	7	213	12.9
23.200001	8	3.2	5.7	3.6	7.1	153	10.5
25.799999	7.7	2.9	5.4	3.7	7.6	171	13.1
29.549999	8.616667	4.716667	7.233333	4.833333	7.566667	200	9.783333
29.799999	8.2	4.3	7.9	4.5	7.4	230	9.2
28.299999	7.2	4.9	7.9	5.1	6.7	155	47.900002
21.799999	8.2	3.7	6.4	3.9	7.2	134	26.1
23.200001	8.2	3.1	5.6	3.5	7.3	158	14.8
22.799999	9.4	5	5.9	3.8	7.6	201	8.5
23.6	11.1	5.3	9.7	5.7	9.1	263	16
22.200001	10.6	6.9	11.7	7.2	7.7	283	20.299999
20.9	12.1	5.7	13	5.9	9.2	337	20.5
17.299999	12.7	5.3	12.3	5.7	8.7	323	22.299999
15.7	11.1	4.7	10.2	5.1	8	340	18.9
15.7	10.6	4.5	10.2	4.7	8.1	388	16.700001
13.4	12.4	4.3	9.4	6.1	8.5	385	15.5
12.8	12.6	4.2	8.2	4.4	8.4	387	8.9
12.9	9.4	3.9	7.4	4.6	7.6	381	8.3
9.9	11.6	4.2	7.9	4.4	7.5	384	7.4
7.8	14.4	4	10	4.1	8.4	375	13.1
6.6	13.6	3.9	8.8	4.2	8	426	14.5
4.5	16.200001	4.5	10.2	4.7	8.3	455	16.299999
5	15.7	5	11.9	5.5	7.9	465	20.299999
4.4	15.1	4.8	8.9	5.1	7.8	510	25.200001
5.3	15	5.3	11.3	7.1	7.9	492	21.200001
8.2	12.4	4.7	10.3	5.1	7.5	436	12.1
6.8	13.5	5.9	10.8	7	8.2	374	15.3
6.8	13.8	5.8	9.5	6	8.4	419	15.5
9.1	12.3	4.9	10.9	5.7	8.2	399	13.4
8.4	14	5	11.7	6.6	8.4	408	15.9
11.4	8.1	4.3	12.4	5.6	7.3	286	33.900002
12.1	10.9	5.1	8.8	4.7	7.5	331	16.9
13.3	11.1	5.7	9.2	5.2	7.8	355	14.9
13.3	10.7	4.9	9.1	5.6	8	354	17.799999
14.3	9.1	4.2	7.6	4.4	7.4	218	30.1
15.4	10	5.7	7	5.2	7.6	245	19
17.5	12.2	5.8	12.2	4.6	9.5	259	21.9
15	12.1	6.1	12.4	4	8.9	273	19
20	9	3.9	9.4	4.8	7.9	346	10.8
17.799999	9.7	4.9	9.9	5.3	8	339	14.6
19.200001	7.4	4	9.5	5.2	7.3	304	13
20.799999	6.9	2.9	10.2	5.9	6.9	188	30.9
23.4	11.8	8	12.6	8.2	7.8	274	22
23.700001	7.2	5.1	11.3	6.3	7.4	275	17.1
24.1	9.3	4.7	11.9	8.1	7.7	261	27
26.6	8.5	6.1	11.8	7.6	7.5	224	19.200001
25.700001	9.2	8.6	13.2	8.6	7.5	265	20.799999
27.799999	8.8	7.5	12.5	7.8	7.6	265	15.8
25	6.4	6.7	8.4	6.9	6.8	219	15.6
26.9	7.8	6.9	6.4	4.6	7.4	184	11.6
29.5	6.2	4	7.2	4.9	7.8	243	10.9
30.1	6.9	4.8	10.7	7.6	8.3	287	16.6
30.200001	7.3	10	13.4	6.9	7.2	254	28.200001
27.5	6.3	3.9	7.5	6.3	8.5	187	36.799999
28.4	7.6	8.5	9.3	6.4	7.6	247	14
24.5	6.9	2.5	5.3	4.1	6.9	213	9.6
26.299999	10.7	5	7.5	5.3	7.6	272	12.1
25	9.3	4.1	7.5	5.5	7.9	219	9.6
25.299999	9.5	4.9	7.3	5.6	7.8	266	8.2
25.4	8.5	5.9	7.7	6	7.6	271	11.6
23.299999	7.7	5.5	7.6	6.1	7.4	366	19.799999
17.6	11.2	6.4	7.9	6.8	7.9	361	18.1
15.4	13.1	5.9	8.2	6	8.4	364	15.2
16.1	11.3	4.3	7.5	4.4	8.1	377	10.9
16.1	11	4.5	7.9	4.7	7.9	395	20.4
12	8.2	4.2	6.9	4.5	7.2	309	7.4
12.7	10.2	4.2	7.9	4.5	7.3	355	3.8
10.6	10.4	3.3	7.2	4.5	7.1	394	7.1
8.5	11.9	5.5	7.1	5.7	7.4	349	12.4
9.4	13.4	5.8	8.6	6.1	7.7	405	14.8
6.5	13.3	5.5	8.1	5.6	7.7	429	12.8
4.4	15.1	5.9	11.2	6.2	8.4	421	15.6
5.1	16.299999	5.6	10.9	10.1	8.6	430	23.1
5.1	17.799999	6.7	11.9	7.6	8.5	424	17.5
5.742857	16.228571	6.271429	11.9	6.742857	8.285714	429	16.285715
6	16.299999	6.6	12.2	8.2	8.3	460	18.299999
5.4	17.299999	7.7	12	8	8.3	451	21.700001
